gene	gene_name	gene_type	chr	start	end	strand	length	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
ENSG00000107021.11	TBC1D13	protein_coding	chr9	131549483	131572711	+	3982	2309	2030	2089	1910	1480	2249	1926	1932	2101	1976	1852	1758
ENSG00000107036.7	KIAA1432	protein_coding	chr9	5629025	5776557	+	8591	2675	2818	2857	3206	2064	3654	3782	6946	3910	6600	3768	6517
ENSG00000107077.13	KDM4C	protein_coding	chr9	6720863	7175648	+	10322	2524	2506	2720	2563	2479	2716	2987	3271	3110	3336	3282	2906
ENSG00000107099.11	DOCK8	protein_coding	chr9	214854	465259	+	13782	8954	2305	9302	2400	7841	4460	14558	2154	15865	2097	9935	3492
ENSG00000107104.14	KANK1	protein_coding	chr9	470291	746105	+	11285	224	232	288	232	358	299	188	167	207	160	313	230
ENSG00000107130.6	NCS1	protein_coding	chr9	132934857	132999583	+	5128	172	205	151	235	110	620	41	193	50	235	169	1012
ENSG00000107140.11	TESK1	protein_coding	chr9	35605367	35610038	+	3233	2222	1492	2017	1564	1546	1817	1857	2354	1999	2082	2592	2046
ENSG00000107147.7	KCNT1	protein_coding	chr9	138594031	138684992	+	9275	21	14	13	10	22	31	26	19	32	18	20	17
ENSG00000107159.8	CA9	protein_coding	chr9	35673853	35681156	+	1670	6	4	4	7	1	3	2	1	2	5	0	1
ENSG00000107164.15	FUBP3	protein_coding	chr9	133454352	133513739	+	5507	1729	2166	1705	2132	1576	2219	1722	3014	1788	3159	1933	2458
ENSG00000107175.6	CREB3	protein_coding	chr9	35732332	35737001	+	1903	876	679	857	610	879	1161	718	695	714	616	1010	1232
ENSG00000107185.8	RGP1	protein_coding	chr9	35749203	35758572	+	7180	1488	751	1638	823	1758	1654	2302	1171	2273	1121	2534	1895
ENSG00000107187.11	LHX3	protein_coding	chr9	139088096	139096955	-	2579	1	4	2	0	0	1	2	1	0	1	0	0
ENSG00000107201.5	DDX58	protein_coding	chr9	32455300	32526322	-	5225	1469	508	1453	485	1374	839	1968	240	2042	212	1557	450
ENSG00000107223.8	EDF1	protein_coding	chr9	139756571	139760738	-	1200	5069	6065	4714	5923	3879	6289	3482	5132	3547	5116	4230	5013
ENSG00000107242.13	PIP5K1B	protein_coding	chr9	71320575	71624092	+	4673	546	301	584	253	123	158	487	350	501	302	295	197
ENSG00000107249.17	GLIS3	protein_coding	chr9	3824127	4348392	-	11558	5	6	7	9	31	33	0	0	0	1	6	2
ENSG00000107262.12	BAG1	protein_coding	chr9	33247818	33264761	-	7108	1651	2803	1621	2735	1492	2558	1235	4176	1307	3880	1794	2876
ENSG00000107263.14	RAPGEF1	protein_coding	chr9	134452157	134615461	-	7123	15863	14379	16150	15285	12114	19583	18290	22935	18720	21956	15164	20016
ENSG00000107281.5	NPDC1	protein_coding	chr9	139933922	139940655	-	2737	69	96	60	137	63	65	16	15	18	21	10	14
ENSG00000107282.5	APBA1	protein_coding	chr9	72042446	72287222	-	6534	8	0	11	3	20	5	6	2	9	2	1	2
ENSG00000107290.9	SETX	protein_coding	chr9	135136743	135230372	-	12140	9607	5255	9718	4793	9248	7115	12229	5149	12634	5284	14278	8330
ENSG00000107317.7	PTGDS	protein_coding	chr9	139871956	139879887	+	2378	54	18	42	18	3	2	4	8	14	2	1	0
ENSG00000107331.12	ABCA2	protein_coding	chr9	139901686	139923367	-	11508	1346	823	1383	768	995	688	830	155	900	125	515	121
ENSG00000107338.8	SHB	protein_coding	chr9	37919131	38069210	-	2841	18	42	19	34	15	39	10	37	12	42	19	34
ENSG00000107341.4	UBE2R2	protein_coding	chr9	33817565	33920402	+	4075	2339	1885	2120	1822	2112	1939	3014	1919	3245	1938	2654	2092
ENSG00000107362.9	ABHD17B	protein_coding	chr9	74477368	74525847	-	2959	785	451	717	463	800	769	807	669	785	664	790	793
ENSG00000107371.8	EXOSC3	protein_coding	chr9	37766975	37801434	-	3023	929	1242	863	1167	506	969	730	1483	782	1469	718	1120
ENSG00000107372.8	ZFAND5	protein_coding	chr9	74966341	74980163	-	7065	3790	4135	3803	3778	4289	5061	3789	5173	4069	4852	4453	5407
ENSG00000107404.13	DVL1	protein_coding	chr1	1270656	1284730	-	3486	1251	1317	1222	1351	1222	1617	908	1156	917	1175	1228	1383
ENSG00000107438.4	PDLIM1	protein_coding	chr10	96997329	97050781	-	2239	3178	766	2912	744	2420	792	3345	573	3578	652	3179	838
ENSG00000107443.11	CCNJ	protein_coding	chr10	97803151	97820627	+	4148	494	953	512	874	344	814	494	1400	477	1517	585	1010
ENSG00000107447.4	DNTT	protein_coding	chr10	98064085	98098321	+	2040	2	0	1	2	1	0	1	0	0	1	0	0
ENSG00000107485.11	GATA3	protein_coding	chr10	8095567	8117161	+	3253	222	194	187	171	456	351	25	19	22	14	26	23
ENSG00000107518.12	ATRNL1	protein_coding	chr10	116853124	117708503	+	9822	23	24	47	25	14	30	38	28	32	29	22	11
ENSG00000107521.14	HPS1	protein_coding	chr10	100175955	100206684	-	5277	3560	2668	3499	2668	3383	3365	3211	2107	3401	2145	2881	2573
ENSG00000107537.9	PHYH	protein_coding	chr10	13319796	13344412	-	3381	285	198	260	186	605	545	181	85	186	71	492	364
ENSG00000107551.16	RASSF4	protein_coding	chr10	45454855	45491339	+	9481	369	607	276	521	61	139	55	196	85	203	43	43
ENSG00000107554.11	DNMBP	protein_coding	chr10	101635334	101769676	-	8634	819	238	796	257	598	424	1165	335	1175	325	872	502
ENSG00000107560.6	RAB11FIP2	protein_coding	chr10	119764427	119806114	-	6169	777	932	869	966	610	737	972	1355	1087	1461	886	928
ENSG00000107562.12	CXCL12	protein_coding	chr10	44793038	44881941	-	6380	0	5	0	2	0	2	1	7	0	2	0	1
ENSG00000107566.9	ERLIN1	protein_coding	chr10	101909851	101948091	-	5792	955	1567	943	1424	794	1291	715	1447	766	1505	709	1031
ENSG00000107581.8	EIF3A	protein_coding	chr10	120794356	120840316	-	6048	9386	17338	9692	18145	8717	17481	8619	30458	8927	30250	11281	21563
ENSG00000107593.15	PKD2L1	protein_coding	chr10	102047903	102090243	-	3073	3	4	3	2	3	2	0	1	0	0	1	0
ENSG00000107611.10	CUBN	protein_coding	chr10	16865963	17171830	-	13168	262	164	218	132	105	89	136	33	167	34	103	22
ENSG00000107614.17	TRDMT1	protein_coding	chr10	17184253	17244053	-	10535	299	394	348	363	298	356	447	507	478	501	493	451
ENSG00000107625.8	DDX50	protein_coding	chr10	70661034	70706603	+	2691	1463	2018	1501	1908	1468	2372	1350	2546	1512	2658	1615	2472
ENSG00000107643.11	MAPK8	protein_coding	chr10	49514698	49647403	+	9613	1276	898	1115	794	914	1076	1092	998	1230	937	1367	1447
ENSG00000107651.8	SEC23IP	protein_coding	chr10	121652223	121702014	+	5684	1921	2660	2095	2637	1872	3022	1889	3852	2179	3934	2140	3431
ENSG00000107669.13	ATE1	protein_coding	chr10	123499939	123688316	-	5690	906	1062	944	1037	938	1292	947	1656	1091	1599	1192	1667
ENSG00000107672.10	NSMCE4A	protein_coding	chr10	123716603	123734732	-	3546	2344	2285	2330	2093	1759	1977	1669	1788	1883	1882	1846	1875
ENSG00000107679.10	PLEKHA1	protein_coding	chr10	124134212	124191867	+	13780	1360	509	1400	522	956	766	2281	831	2308	744	1438	1072
ENSG00000107719.8	PALD1	protein_coding	chr10	72238577	72328205	+	4555	291	566	362	606	234	214	347	607	420	695	109	155
ENSG00000107731.8	UNC5B	protein_coding	chr10	72972327	73062621	+	6841	4	7	3	5	10	20	2	7	1	7	4	16
ENSG00000107736.15	CDH23	protein_coding	chr10	73156691	73575702	+	17359	82	29	90	28	39	25	27	21	37	17	7	12
ENSG00000107738.15	C10orf54	protein_coding	chr10	73507316	73533255	-	5128	1092	206	1109	206	731	341	828	47	889	57	676	249
ENSG00000107742.8	SPOCK2	protein_coding	chr10	73818793	73848790	-	6572	6887	1896	7287	2205	7028	4040	6732	426	6617	361	2657	603
ENSG00000107745.12	MICU1	protein_coding	chr10	74127098	74385899	-	4254	1026	832	1010	809	1118	1134	1021	1007	1032	1041	1116	1319
ENSG00000107758.11	PPP3CB	protein_coding	chr10	75196186	75255782	-	5303	2301	2558	2272	2462	1805	2181	2216	2953	2445	3058	2060	2372
ENSG00000107771.11	CCSER2	protein_coding	chr10	86088342	86278273	+	8420	1318	2533	1381	2332	2079	3524	1510	3237	1645	3109	2298	4085
ENSG00000107779.7	BMPR1A	protein_coding	chr10	88516407	88692595	+	11360	163	103	165	96	185	118	152	48	162	55	178	96
ENSG00000107789.11	MINPP1	protein_coding	chr10	89264632	89313217	+	3016	401	264	340	231	414	445	319	221	311	213	385	416
ENSG00000107796.8	ACTA2	protein_coding	chr10	90694831	90751147	-	3027	43	31	40	30	82	68	35	12	38	16	76	41
ENSG00000107798.13	LIPA	protein_coding	chr10	90973326	91174314	-	4940	2037	1104	1938	1145	2002	1647	2167	1245	2262	1194	2080	1496
ENSG00000107815.3	C10orf2	protein_coding	chr10	102747124	102754158	+	3508	852	3217	846	3252	441	2990	604	6285	758	6429	940	3810
ENSG00000107816.13	LZTS2	protein_coding	chr10	102756375	102767593	+	6547	1230	617	1185	670	1120	903	1376	552	1500	540	1052	665
ENSG00000107819.9	SFXN3	protein_coding	chr10	102790991	102800998	+	4628	942	223	1001	247	2375	884	820	68	924	63	1648	376
ENSG00000107821.10	KAZALD1	protein_coding	chr10	102821598	102827888	+	3613	1	1	7	4	3	1	4	0	7	1	2	2
ENSG00000107829.9	FBXW4	protein_coding	chr10	103370423	103455052	-	5036	1731	1523	1597	1557	1515	1680	1474	1720	1512	1892	1408	1271
ENSG00000107831.8	FGF8	protein_coding	chr10	103529899	103535854	-	1317	2	2	3	1	0	2	2	3	1	0	0	4
ENSG00000107833.6	NPM3	protein_coding	chr10	103541082	103543170	-	928	978	1772	846	1667	312	1022	384	1908	366	1938	321	1028
ENSG00000107854.5	TNKS2	protein_coding	chr10	93558069	93625033	+	6157	3682	2423	3755	2522	4091	3834	4965	3226	5373	3230	5255	4213
ENSG00000107862.4	GBF1	protein_coding	chr10	104005289	104142656	+	6641	3350	2778	3248	2767	2735	3683	2870	3300	3118	3270	3271	3470
ENSG00000107863.12	ARHGAP21	protein_coding	chr10	24872538	25012597	-	10739	647	636	658	545	1360	1228	327	344	277	380	911	863
ENSG00000107864.10	CPEB3	protein_coding	chr10	93806449	94050844	-	7895	215	60	215	69	152	114	269	49	267	52	212	157
ENSG00000107872.8	FBXL15	protein_coding	chr10	104178946	104182893	+	2593	662	664	646	643	494	628	436	543	414	541	469	484
ENSG00000107874.6	CUEDC2	protein_coding	chr10	104183002	104192418	-	1412	1030	1174	936	1070	777	1068	757	1093	723	1117	800	860
ENSG00000107882.7	SUFU	protein_coding	chr10	104263744	104393292	+	6865	534	241	567	247	686	490	774	249	794	250	732	346
ENSG00000107890.12	ANKRD26	protein_coding	chr10	27280843	27389421	-	8241	510	293	484	244	333	284	572	267	592	207	426	337
ENSG00000107897.14	ACBD5	protein_coding	chr10	27484146	27531059	-	4339	860	693	871	623	903	793	927	733	1061	734	1129	849
ENSG00000107902.9	LHPP	protein_coding	chr10	126150403	126306457	+	4064	887	135	849	147	337	192	1684	161	1783	123	472	155
ENSG00000107929.10	LARP4B	protein_coding	chr10	855484	977564	-	10125	3771	5132	3771	5038	2966	4810	4094	6777	4260	6683	4014	5301
ENSG00000107937.14	GTPBP4	protein_coding	chr10	1034338	1065876	+	6161	2835	7937	2709	7473	1503	6351	1892	11278	2149	11623	2583	7842
ENSG00000107938.13	C10orf137	protein_coding	chr10	127408084	127452712	+	7741	1501	1537	1653	1382	1191	1306	1544	1554	1767	1650	1564	1377
ENSG00000107949.12	BCCIP	protein_coding	chr10	127512115	127542264	+	4499	1924	3143	1764	2881	1025	2459	1289	3808	1336	3825	1307	2846
ENSG00000107951.8	MTPAP	protein_coding	chr10	30598730	30663377	-	8382	1256	2248	1277	2067	663	1691	965	2757	1017	2806	1043	2058
ENSG00000107954.6	NEURL	protein_coding	chr10	105253736	105352309	+	4961	57	197	57	185	21	67	29	188	33	200	13	42
ENSG00000107957.12	SH3PXD2A	protein_coding	chr10	105348285	105615301	-	12436	2621	1081	2630	1017	1294	895	2845	931	3076	891	1550	745
ENSG00000107959.11	PITRM1	protein_coding	chr10	3179920	3215003	-	6949	2321	2940	2246	2914	2092	3353	1977	3131	2146	3253	2474	3524
ENSG00000107960.6	OBFC1	protein_coding	chr10	105642300	105677963	-	1617	432	493	414	497	521	539	322	351	341	369	377	262
ENSG00000107968.5	MAP3K8	protein_coding	chr10	30722866	30750762	+	3601	2181	1546	2127	1366	1334	2131	1766	2179	1867	2187	2297	3253
ENSG00000108001.9	EBF3	protein_coding	chr10	131633547	131762105	-	4623	19	2	17	3	14	3	9	0	7	2	6	4
ENSG00000108010.7	GLRX3	protein_coding	chr10	131934663	131982785	+	2275	1454	2145	1330	1999	1242	2632	962	2879	998	2852	1689	3313
ENSG00000108021.15	FAM208B	protein_coding	chr10	5726801	5805703	+	10960	3102	6795	3194	6742	1835	5072	2957	13265	3458	13015	3467	8360
ENSG00000108039.13	XPNPEP1	protein_coding	chr10	111624524	111683311	-	6691	2072	2176	2101	2006	1466	2222	1566	2027	1743	2139	1658	1972
ENSG00000108055.9	SMC3	protein_coding	chr10	112327449	112364394	+	4275	2712	3388	2688	3146	2748	4066	2828	4970	3108	4978	3752	5552
ENSG00000108061.7	SHOC2	protein_coding	chr10	112679301	112773425	+	4433	2231	1649	2265	1667	2415	2680	3030	2727	3169	2583	3575	3811
ENSG00000108064.6	TFAM	protein_coding	chr10	60144782	60158981	+	5606	2147	4454	2256	4317	1500	3821	2212	7553	2355	7655	2260	5004
ENSG00000108091.10	CCDC6	protein_coding	chr10	61548521	61666414	-	7345	1717	1762	1679	1710	1206	1462	1953	2365	2125	2418	1711	1713
ENSG00000108094.10	CUL2	protein_coding	chr10	35297479	35379570	-	4992	1431	1598	1467	1505	1313	1872	1282	1922	1422	1899	1558	2010
ENSG00000108100.13	CCNY	protein_coding	chr10	35535953	35860852	+	4998	2217	2544	2284	2614	2203	3014	2317	3821	2429	3860	2712	3516
ENSG00000108106.9	UBE2S	protein_coding	chr19	55912652	55919145	-	1249	349	540	302	522	130	315	175	577	165	602	203	324
ENSG00000108107.8	RPL28	protein_coding	chr19	55896713	55914612	+	6927	23574	18644	23022	20151	19692	20314	18842	20607	18500	20950	22007	18272
ENSG00000108175.12	ZMIZ1	protein_coding	chr10	80828792	81076276	+	10735	3288	3419	3381	3814	3626	6597	3072	4220	3221	4775	3940	6554
ENSG00000108176.10	DNAJC12	protein_coding	chr10	69556427	69597924	-	2117	3	2	4	3	2	2	3	4	5	5	4	6
ENSG00000108179.9	PPIF	protein_coding	chr10	81107225	81115093	+	2674	2514	7949	2275	7432	1819	6962	1289	9289	1366	9657	2034	6282
ENSG00000108187.11	PBLD	protein_coding	chr10	70042417	70092806	-	5172	180	90	159	99	125	102	170	138	181	135	139	155
ENSG00000108219.10	TSPAN14	protein_coding	chr10	82213922	82292879	+	17883	2444	1473	2436	1562	3934	3323	2043	793	2209	703	1877	1092
ENSG00000108239.8	TBC1D12	protein_coding	chr10	96162261	96295687	+	6921	264	252	253	261	305	467	364	450	448	397	614	793
ENSG00000108255.3	CRYBA1	protein_coding	chr17	27573881	27581512	+	794	2	3	2	1	2	8	1	3	2	4	3	1
ENSG00000108256.4	NUFIP2	protein_coding	chr17	27582854	27621136	-	10850	5708	7045	6351	6460	4798	5564	8132	9972	8820	10143	8046	8430
ENSG00000108262.11	GIT1	protein_coding	chr17	27900487	27921072	-	5635	2780	3827	2549	4057	2212	3314	2766	5375	2740	5297	2936	3511
ENSG00000108264.12	TADA2A	protein_coding	chr17	35766965	35839835	+	5654	884	1608	937	1461	776	1297	818	1904	893	1996	985	1352
ENSG00000108270.6	AATF	protein_coding	chr17	35306175	35414171	+	4714	2264	5792	2164	5660	2008	5514	1716	9367	1916	9291	2312	6285
ENSG00000108272.9	DHRS11	protein_coding	chr17	34948228	34957235	+	5462	270	279	281	236	228	289	132	196	143	249	212	228
ENSG00000108278.7	ZNHIT3	protein_coding	chr17	34842473	34855154	+	6688	967	1125	929	1046	977	1227	912	1408	930	1423	1127	1279
ENSG00000108292.12	MLLT6	protein_coding	chr17	36861795	36886056	+	13315	9400	14574	9568	15600	6891	14055	8760	21680	9969	22079	7779	13881
ENSG00000108294.4	PSMB3	protein_coding	chr17	36908989	36920484	+	1179	2360	3991	2264	3790	1410	3192	1355	3908	1425	3982	1599	3052
ENSG00000108296.7	CWC25	protein_coding	chr17	36956687	36981734	-	3848	1979	2490	1787	2310	1369	2281	1622	2748	1750	2871	1879	2572
ENSG00000108298.5	RPL19	protein_coding	chr17	37356536	37360980	+	2368	36773	35467	36763	34701	29750	33645	31494	37828	31712	38544	30294	29688
ENSG00000108306.7	FBXL20	protein_coding	chr17	37415384	37558776	-	3261	292	77	278	78	333	164	355	43	377	54	435	205
ENSG00000108309.8	RUNDC3A	protein_coding	chr17	42385781	42396039	+	4905	5	6	6	3	11	6	0	2	4	1	1	6
ENSG00000108312.10	UBTF	protein_coding	chr17	42282401	42298994	-	6993	6912	6207	6934	6025	6957	7501	6404	5928	6570	6072	6741	6298
ENSG00000108344.10	PSMD3	protein_coding	chr17	38137050	38154213	+	4964	3971	4962	3752	4899	2899	5619	2733	6477	2799	6418	3161	5605
ENSG00000108349.10	CASC3	protein_coding	chr17	38296571	38328436	+	6380	4066	4571	3938	4693	4628	5844	4277	6804	4675	6898	5491	6407
ENSG00000108352.7	RAPGEFL1	protein_coding	chr17	38333263	38351908	+	5710	237	369	223	348	104	178	151	285	141	303	112	182
ENSG00000108370.11	RGS9	protein_coding	chr17	63133549	63223821	+	3664	20	17	16	20	34	29	7	7	3	4	55	53
ENSG00000108375.8	RNF43	protein_coding	chr17	56429861	56494956	-	7505	141	151	145	152	105	86	134	97	151	118	107	83
ENSG00000108379.5	WNT3	protein_coding	chr17	44839872	44910520	-	4334	53	26	62	40	76	38	70	51	83	54	64	48
ENSG00000108381.6	ASPA	protein_coding	chr17	3375668	3406713	+	5854	0	2	0	0	1	1	2	0	1	1	0	3
ENSG00000108384.10	RAD51C	protein_coding	chr17	56769934	56811703	+	3349	498	665	477	490	301	458	400	600	415	657	355	539
ENSG00000108387.10	SEPT4	protein_coding	chr17	56597611	56618179	-	8012	13	0	17	7	33	12	15	3	22	0	32	7
ENSG00000108389.5	MTMR4	protein_coding	chr17	56566898	56595266	-	7467	5610	4180	5370	3907	3969	5724	4908	3358	5395	3359	5499	5708
ENSG00000108395.9	TRIM37	protein_coding	chr17	57059999	57184282	-	5482	829	1092	839	1027	792	1108	722	1286	737	1334	877	1165
ENSG00000108405.3	P2RX1	protein_coding	chr17	3799886	3819794	-	3970	2320	240	2396	241	707	291	2913	248	3388	283	1274	236
ENSG00000108406.5	DHX40	protein_coding	chr17	57642886	57685706	+	6092	938	965	1040	839	1110	1190	1155	1127	1186	1124	1437	1535
ENSG00000108423.10	TUBD1	protein_coding	chr17	57936851	57970304	-	3320	368	202	415	199	264	190	406	168	404	164	314	223
ENSG00000108424.5	KPNB1	protein_coding	chr17	45726842	45762871	+	7678	11436	22245	11163	20396	6656	14893	9362	28910	10133	29064	9789	17414
ENSG00000108433.11	GOSR2	protein_coding	chr17	45000483	45105003	+	5438	799	1047	805	945	548	1061	755	1481	885	1566	843	1179
ENSG00000108439.5	PNPO	protein_coding	chr17	46018872	46025654	+	2861	423	611	415	655	262	623	336	1099	369	1112	280	688
ENSG00000108443.9	RPS6KB1	protein_coding	chr17	57970447	58027925	+	7647	1303	1961	1331	1829	973	1692	1301	2849	1469	2809	1486	2186
ENSG00000108448.16	TRIM16L	protein_coding	chr17	18601311	18639431	+	4329	47	42	42	27	39	60	39	56	44	37	40	45
ENSG00000108452.1	ZNF29P	pseudogene	chr17	15578790	15578957	+	168	3	2	1	0	0	1	2	0	1	2	2	3
ENSG00000108465.10	CDK5RAP3	protein_coding	chr17	46045176	46059140	+	6070	10248	6514	9310	5994	6068	5139	6071	3376	7385	3804	5672	3781
ENSG00000108468.10	CBX1	protein_coding	chr17	46147414	46178883	-	3087	1526	1535	1486	1367	1308	1873	1554	1911	1527	1920	1527	1997
ENSG00000108469.10	RECQL5	protein_coding	chr17	73622925	73663269	-	8766	1521	853	1548	885	1215	948	1169	602	1275	624	956	640
ENSG00000108474.12	PIGL	protein_coding	chr17	16120505	16252115	+	4929	713	473	779	506	342	343	584	450	662	474	366	289
ENSG00000108479.7	GALK1	protein_coding	chr17	73747675	73761792	-	2891	398	334	437	345	401	460	358	216	352	207	437	284
ENSG00000108506.7	INTS2	protein_coding	chr17	59942731	60005377	-	7129	1022	1187	1116	1176	946	1243	1034	1431	1215	1478	1117	1394
ENSG00000108509.16	CAMTA2	protein_coding	chr17	4871287	4890960	-	6012	2069	1867	1932	1851	1650	2173	1649	1757	1783	1828	1599	1693
ENSG00000108510.5	MED13	protein_coding	chr17	60019966	60142643	-	12677	3074	3640	3106	3717	2731	4344	4366	6578	4775	6145	4580	6425
ENSG00000108511.8	HOXB6	protein_coding	chr17	46671639	46682354	-	4078	1	0	1	0	1	2	1	1	0	1	0	0
ENSG00000108515.13	ENO3	protein_coding	chr17	4851387	4860426	+	4292	548	792	561	877	358	363	351	539	414	628	280	236
ENSG00000108518.7	PFN1	protein_coding	chr17	4848947	4852356	-	1987	17788	18856	16940	18187	12415	20142	9364	15242	9326	15302	10315	13406
ENSG00000108523.11	RNF167	protein_coding	chr17	4843303	4848517	+	2744	3667	3025	3424	2947	3147	3667	3142	2743	3230	2671	3198	3090
ENSG00000108528.9	SLC25A11	protein_coding	chr17	4840425	4843546	-	2669	1322	1074	1228	976	858	1134	798	856	847	803	817	873
ENSG00000108551.4	RASD1	protein_coding	chr17	17397751	17399709	-	1748	4	7	2	0	28	10	4	1	1	8	17	13
ENSG00000108556.7	CHRNE	protein_coding	chr17	4801069	4806369	-	2641	14	22	24	18	16	22	19	15	18	22	12	15
ENSG00000108557.13	RAI1	protein_coding	chr17	17584787	17714767	+	9696	1389	1036	1427	1319	1149	1788	1626	1644	1554	1655	1702	1647
ENSG00000108559.7	NUP88	protein_coding	chr17	5264258	5323480	-	5294	3055	3004	3092	2881	1692	2893	3777	4712	4000	4513	3282	4347
ENSG00000108561.4	C1QBP	protein_coding	chr17	5336097	5352150	-	2335	4310	7443	4145	7162	1814	5298	2004	9563	2093	9716	2095	5610
ENSG00000108576.5	SLC6A4	protein_coding	chr17	28521337	28563020	-	6983	16	7	15	11	5	11	3	7	10	8	10	11
ENSG00000108578.10	BLMH	protein_coding	chr17	28575218	28619074	-	5122	1402	1970	1411	1832	1151	1758	749	2371	886	2382	1127	1749
ENSG00000108582.7	CPD	protein_coding	chr17	28705923	28797007	+	12532	588	893	580	857	1028	2341	647	2365	649	2508	1367	3024
ENSG00000108587.10	GOSR1	protein_coding	chr17	28804380	28854610	+	9855	1472	1952	1425	1832	1051	1921	1406	2715	1553	2809	1640	2355
ENSG00000108588.9	CCDC47	protein_coding	chr17	61822610	61853711	-	4537	1984	3208	2069	3343	1455	3141	1837	4953	1997	4933	2129	4054
ENSG00000108590.6	MED31	protein_coding	chr17	6546635	6554954	-	2103	183	163	202	159	145	199	171	171	203	148	181	163
ENSG00000108591.5	DRG2	protein_coding	chr17	17991200	18011285	+	7411	1769	1907	1707	1880	1235	1715	1319	2008	1435	2062	1271	1452
ENSG00000108592.12	FTSJ3	protein_coding	chr17	61896793	61907372	-	5212	2959	4836	2751	4643	1782	4099	2360	6122	2493	6395	2702	5399
ENSG00000108599.10	AKAP10	protein_coding	chr17	19807615	19881656	-	4848	1361	1270	1412	1222	1178	1372	1566	1488	1722	1536	1472	1433
ENSG00000108602.13	ALDH3A1	protein_coding	chr17	19641297	19652256	-	3918	1	1	4	3	1	5	0	3	1	0	1	0
ENSG00000108604.11	SMARCD2	protein_coding	chr17	61909444	61920425	-	3731	3728	3006	3485	2883	3520	3934	3304	3243	3394	2962	4044	3989
ENSG00000108622.6	ICAM2	protein_coding	chr17	62079954	62097994	-	3243	565	303	556	354	285	497	608	423	625	460	343	408
ENSG00000108639.3	SYNGR2	protein_coding	chr17	76164639	76169608	+	4074	16023	14945	15961	14886	6054	14970	11461	21890	12142	20955	11331	19675
ENSG00000108641.10	B9D1	protein_coding	chr17	19240867	19281495	-	3522	43	82	41	71	25	43	40	83	29	79	30	45
ENSG00000108651.5	UTP6	protein_coding	chr17	30187923	30228784	-	6445	3800	4880	3706	4439	2118	3821	3334	5570	3553	5833	3378	4516
ENSG00000108654.7	DDX5	protein_coding	chr17	62495734	62504317	-	7319	42081	41398	43992	40476	37448	46189	44697	61602	50008	62788	50646	56487
ENSG00000108666.5	C17orf75	protein_coding	chr17	30651584	30677042	-	2821	533	637	540	576	501	527	398	484	431	579	430	444
ENSG00000108669.12	CYTH1	protein_coding	chr17	76670130	76778379	-	7754	15402	5560	15062	4718	13197	12196	14618	3562	15524	3199	13510	9869
ENSG00000108671.5	PSMD11	protein_coding	chr17	30771279	30810336	+	7200	3133	5131	3085	4811	2200	4990	2456	7351	2500	7543	3158	6375
ENSG00000108679.8	LGALS3BP	protein_coding	chr17	76967320	76976191	-	3584	236	354	277	404	293	268	104	73	131	69	74	42
ENSG00000108688.7	CCL7	protein_coding	chr17	32597240	32599261	+	863	1	0	0	4	0	2	3	4	3	5	1	0
ENSG00000108691.5	CCL2	protein_coding	chr17	32582304	32584222	+	1137	66	83	71	104	13	24	100	97	120	108	20	14
ENSG00000108702.3	CCL1	protein_coding	chr17	32687347	32690250	-	592	12	13	8	7	0	2	0	1	1	3	0	1
ENSG00000108733.5	PEX12	protein_coding	chr17	33901814	33905882	-	2853	265	279	259	298	229	309	255	460	302	453	240	311
ENSG00000108753.8	HNF1B	protein_coding	chr17	36046435	36105237	-	5960	485	586	420	522	14	109	106	700	135	839	140	146
ENSG00000108771.8	DHX58	protein_coding	chr17	40253422	40264751	-	3843	1055	606	1014	609	774	527	549	167	600	171	385	162
ENSG00000108773.6	KAT2A	protein_coding	chr17	40265126	40273376	-	3769	3964	2865	3567	2847	1727	1851	2337	2002	2664	2043	1697	1492
ENSG00000108774.10	RAB5C	protein_coding	chr17	40276994	40307035	-	2734	1168	998	1121	1035	1071	1267	1053	1427	1047	1261	1098	1247
ENSG00000108784.5	NAGLU	protein_coding	chr17	40688190	40696467	+	3004	1204	1124	1126	1150	783	910	777	1297	801	1242	817	957
ENSG00000108785.7	HSD17B1P1	pseudogene	chr17	40698782	40700724	+	955	36	13	38	22	26	23	51	17	52	25	28	19
ENSG00000108786.6	HSD17B1	protein_coding	chr17	40701232	40707231	+	5658	79	62	95	57	74	65	163	90	184	96	139	79
ENSG00000108788.7	MLX	protein_coding	chr17	40719086	40725257	+	4259	1505	1554	1361	1521	1090	1595	1342	1729	1304	1695	1323	1553
ENSG00000108797.7	CNTNAP1	protein_coding	chr17	40834631	40851832	+	6045	564	1022	620	1110	105	160	210	360	230	453	118	114
ENSG00000108798.4	ABI3	protein_coding	chr17	47287589	47300587	+	2456	464	310	471	263	591	628	383	71	419	75	528	61
ENSG00000108799.8	EZH1	protein_coding	chr17	40852293	40897071	-	6992	5440	2102	5347	2042	5496	3787	6011	2048	6504	1981	6020	3458
ENSG00000108813.9	DLX4	protein_coding	chr17	48046334	48052321	+	3211	7	12	4	5	3	3	3	2	0	6	2	1
ENSG00000108819.9	PPP1R9B	protein_coding	chr17	48211104	48227991	-	4290	8685	11708	8663	13111	5268	12700	9588	18759	9589	19193	8510	14193
ENSG00000108821.9	COL1A1	protein_coding	chr17	48260650	48278993	-	9819	26	22	40	19	5	13	5	19	10	24	15	18
